iter	Passed	Remaining
206	2673	3783
207	2684	3768
208	2693	3750
209	2703	3734
210	2723	3730
211	2735	3715
212	2745	3699
213	2755	3683
214	2766	3666
215	2779	3655
216	2790	3639
217	2799	3622
218	2811	3607
219	2822	3592
220	2836	3580
221	2845	3563
222	2858	3550
223	2868	3534
224	2878	3518
225	2889	3503
226	2898	3486
227	2909	3470
228	2927	3464
229	2936	3447
230	2945	3429
231	2954	3412
232	2962	3394
233	2975	3382
234	2986	3367
235	2994	3350
236	3004	3334
237	3013	3317
238	3022	3300
239	3032	3284
240	3041	3268
241	3055	3257
242	3065	3242
243	3073	3224
244	3082	3208
245	3090	3191
246	3100	3176
247	3110	3160
248	3121	3146
249	3132	3132
250	3139	3114
251	3149	3099
252	3156	3081
253	3165	3065
254	3173	3049
255	3182	3033
256	3190	3016
257	3199	3001
258	3207	2984
259	3228	2980
260	3236	2963
261	3245	2947
262	3253	2931
263	3262	2916
264	3271	2901
265	3281	2886
266	3289	2870
267	3299	2856
268	3311	2843
269	3319	2827
270	3329	2813
271	3337	2797
272	3346	2782
273	3354	2766
274	3365	2753
275	3375	2739
276	3383	2723
277	3393	2709
278	3400	2693
279	3416	2684
280	3427	2671
281	3440	2659
282	3448	2644
283	3466	2636
284	3475	2621
285	3485	2607
286	3494	2593
287	3502	2578
288	3512	2564
289	3520	2549
290	3528	2534
291	3537	2519
292	3546	2505
293	3556	2491
294	3564	2476
295	3574	2463
296	3582	2448
297	3592	2435
298	3600	2420
299	3611	2407
300	3627	2398
301	3641	2387
302	3656	2377
303	3675	2369
304	3696	2363
305	3711	2352
306	3720	2338
307	3728	2324
308	3737	2310
309	3745	2295
310	3755	2282
311	3764	2268
312	3772	2253
313	3781	2239
314	3794	2228
315	3805	2215
316	3814	2202
317	3822	2187
318	3832	2174
319	3841	2160
320	3851	2147
321	3859	2133
322	3868	2120
323	3877	2106
324	3887	2093
325	3906	2085
326	3918	2072
327	3926	2058
328	3935	2045
329	3943	2031
330	3954	2019
331	3968	2008
332	3982	1997
333	3991	1984
334	4001	1971
335	4016	1960
336	4025	1947
337	4038	1935
338	4048	1922
339	4056	1909
340	4066	1896
341	4074	1882
342	4087	1871
343	4099	1859
344	4108	1845
345	4121	1834
346	4131	1821
347	4147	1811
348	4156	1798
349	4166	1785
350	4178	1773
351	4193	1762
352	4204	1750
353	4213	1737
354	4221	1724
355	4231	1711
356	4240	1698
357	4248	1685
358	4258	1672
359	4267	1659
360	4276	1646
361	4285	1633
362	4297	1621
363	4309	1609
364	4318	1597
365	4328	1584
366	4336	1571
367	4345	1558
368	4353	1545
369	4362	1532
370	4372	1520
371	4380	1507
372	4390	1494
373	4398	1481
374	4413	1471
375	4422	1458
376	4430	1445
377	4446	1435
378	4455	1422
379	4464	1409
380	4473	1397
381	4482	1384
382	4491	1372
383	4501	1359
384	4510	1347
385	4520	1334
386	4528	1322
387	4537	1309
388	4545	1297
389	4555	1284
390	4563	1272
391	4578	1261
392	4588	1249
393	4597	1237
394	4610	1225
395	4624	1214
396	4637	1203
397	4656	1193
398	4666	1181
399	4675	1168
400	4687	1157
401	4694	1144
402	4704	1132
403	4711	1119
404	4721	1107
405	4727	1094
406	4736	1082
407	4742	1069
408	4749	1056
409	4755	1043
